Model,Asset,Alpha,N_days,Exceedances,Rate,Kupiec_p,Christ_p,Indep_p,Cluster,Basel,MF_mean,MF_p
ARIMA,SPY,95%,1053,25,2.374%,1.4381948732265141e-05,5.508693709121574e-06,0.020130090335062616,5.601818181818182,yellow,0.007737636077937884,0.0003634962465155481
ARIMA,SPY,99%,1053,15,1.425%,0.19309415409471975,0.02332182341274528,0.015819014541262687,10.635897435897435,green,0.004009835090423567,0.13091917984086732
GBM,SPY,95%,1053,49,4.653%,0.6017266874222308,0.4826746499866441,0.2764569090325639,1.8195011337868479,red,0.005526979519738433,0.00044612991353866987
GBM,SPY,99%,1053,22,2.089%,0.0019389108478892988,0.0018065618102108727,0.08193113404936662,4.6818181818181825,yellow,0.007784110970482544,0.0027432760826838925
Heston,SPY,95%,1053,54,5.128%,0.8492144173773882,0.972136719988056,0.8865038257637584,1.0871459694989105,yellow,0.001553025381753949,0.10404361653791747
Heston,SPY,99%,1053,14,1.330%,0.30625093707928075,0.23710409232415045,0.17592254552078246,5.7032967032967035,green,0.004288163229664765,0.037284193030756974
Rough Heston,SPY,95%,1053,51,4.843%,0.8146166872028716,0.9175453749039233,0.7321702652745683,1.2267156862745099,yellow,0.0018763567924484875,0.060580427965933735
Rough Heston,SPY,99%,1053,14,1.330%,0.30625093707928075,0.23710409232415045,0.17592254552078246,5.7032967032967035,green,0.004313475778701575,0.035908611746447966
ARIMA,IBM,95%,1053,28,2.659%,0.00013716952648783025,0.0006674674024052617,0.7727211622299959,1.3544973544973544,red,0.019436488353283356,0.00020501380027686527
ARIMA,IBM,99%,1053,17,1.614%,0.06576307361826711,0.10108677851866502,0.2737573375444376,3.8051470588235294,yellow,0.020851691196394066,0.003321814994985282
GBM,IBM,95%,1053,42,3.989%,0.11908861301946293,0.18611153087570448,0.33394167874916975,1.8498168498168497,red,0.011917970436293755,0.0013059383262373592
GBM,IBM,99%,1053,22,2.089%,0.0019389108478892988,0.006387090233960589,0.4792959627341572,2.2294372294372296,red,0.01667032359005647,0.003639147591802413
Heston,IBM,95%,1053,39,3.704%,0.04346414626471907,0.11744715303616025,0.6497020610472493,1.404019404019404,red,0.010772500197000962,0.002060922165426686
Heston,IBM,99%,1053,20,1.899%,0.009082932150294014,0.022576525300239614,0.37860016541637476,0.0,yellow,0.013807847077057123,0.012359113786665857
Rough Heston,IBM,95%,1053,39,3.704%,0.04346414626471907,0.11744715303616025,0.6497020610472493,1.404019404019404,red,0.010754418055306846,0.002089023071360346
Rough Heston,IBM,99%,1053,20,1.899%,0.009082932150294014,0.022576525300239614,0.37860016541637476,0.0,yellow,0.013738339281242472,0.012755395411272153
ARIMA,JPM,95%,1053,16,1.519%,1.517162103090835e-09,8.236019806278656e-10,0.021051790896295726,9.25,green,0.0050414959611366095,0.12144277909980933
ARIMA,JPM,99%,1053,4,0.380%,0.02063514410620831,0.002140848511378241,0.008448919308850517,87.33333333333333,green,0.007914240857430031,0.24506042759174285
GBM,JPM,95%,1053,40,3.799%,0.06225176815197381,0.1631850534075157,0.6991217050564098,1.3315789473684212,red,0.007783592577152565,0.000903353575043327
GBM,JPM,99%,1053,20,1.899%,0.009082932150294014,0.023042553033189986,0.3914676564097951,2.7157894736842105,yellow,0.008838344560268451,0.006401665704828255
Heston,JPM,95%,1053,42,3.989%,0.11908861301946293,0.18611153087570448,0.33394167874916975,1.8498168498168497,yellow,0.005680509842062585,0.0026928326540974793
Heston,JPM,99%,1053,17,1.614%,0.06576307361826711,0.10108677851866502,0.2737573375444376,3.8051470588235294,yellow,0.006948726908640674,0.009484125106588342
Rough Heston,JPM,95%,1053,42,3.989%,0.11908861301946293,0.18611153087570448,0.33394167874916975,1.8498168498168497,yellow,0.0056706236232505055,0.0027351191428596267
Rough Heston,JPM,99%,1053,17,1.614%,0.06576307361826711,0.10108677851866502,0.2737573375444376,3.8051470588235294,yellow,0.006909776892593898,0.009797212943357477
