Model,Asset,Calm_days,Calm_exc,Calm_rate,Crisis_days,Crisis_exc,Crisis_rate,Target
ARIMA,SPY,892,0,0.000%,161,15,9.317%,1.0%
GBM,SPY,892,2,0.224%,161,20,12.422%,1.0%
Heston,SPY,892,4,0.448%,161,10,6.211%,1.0%
Rough Heston,SPY,892,4,0.448%,161,10,6.211%,1.0%
ARIMA,IBM,892,12,1.345%,161,5,3.106%,1.0%
GBM,IBM,892,15,1.682%,161,7,4.348%,1.0%
Heston,IBM,892,14,1.570%,161,6,3.727%,1.0%
Rough Heston,IBM,892,14,1.570%,161,6,3.727%,1.0%
ARIMA,JPM,892,2,0.224%,161,2,1.242%,1.0%
GBM,JPM,892,13,1.457%,161,7,4.348%,1.0%
Heston,JPM,892,11,1.233%,161,6,3.727%,1.0%
Rough Heston,JPM,892,11,1.233%,161,6,3.727%,1.0%
