Asset,Weight,ES_Contribution,Pct_of_ES,Weighting
IBM,0.16666666666666666,0.007886182420348442,0.18183124119787963,Equal
AAPL,0.16666666666666666,0.009784783185198792,0.22560716663440145,Equal
JPM,0.16666666666666666,0.01650743446069993,0.38061093910747984,Equal
TLT,0.16666666666666666,-0.0009842329072156447,-0.022693399874322312,Equal
GLD,0.16666666666666666,0.0009999162722868498,0.023055010294301754,Equal
SPY,0.16666666666666666,0.009176804697670566,0.2115890426402595,Equal
IBM,0.05,0.0020339347405721147,0.041016558877903064,MarketCap
AAPL,0.3,0.020697159377201173,0.41738126561598793,MarketCap
JPM,0.15,0.013827393642855639,0.2788447899368687,MarketCap
TLT,0.15,-0.0009814289901458764,-0.01979160843060098,MarketCap
GLD,0.1,0.00029748558167925083,0.00599912801176799,MarketCap
SPY,0.25,0.013713592639696872,0.27654986598807324,MarketCap
