Asset,Threshold,Actual Count,Actual %,Expected %,Ratio (Act/Exp)
IBM,3σ,94,1.7531,0.27,6.5
IBM,4σ,41,0.7646,0.0063,120.7
IBM,5σ,22,0.4103,0.0001,7156.7
AAPL,3σ,77,1.436,0.27,5.3
AAPL,4σ,30,0.5595,0.0063,88.3
AAPL,5σ,12,0.2238,0.0001,3903.6
JPM,3σ,99,1.8463,0.27,6.8
JPM,4σ,52,0.9698,0.0063,153.1
JPM,5σ,32,0.5968,0.0001,10409.7
TLT,3σ,51,0.9511,0.27,3.5
TLT,4σ,15,0.2797,0.0063,44.2
TLT,5σ,8,0.1492,0.0001,2602.4
GLD,3σ,70,1.3055,0.27,4.8
GLD,4σ,24,0.4476,0.0063,70.7
GLD,5σ,11,0.2051,0.0001,3578.3
SPY,3σ,89,1.6598,0.27,6.1
SPY,4σ,40,0.746,0.0063,117.8
SPY,5σ,21,0.3916,0.0001,6831.4
