Model,Asset,RMSE,MAE,MAPE (%),Dir. Accuracy (%)
ARIMA,IBM,0.01617619038177418,0.010826389896357317,0.0,50.9
ARIMA,AAPL,0.01786471331461494,0.012560702353356178,0.0,52.5
ARIMA,JPM,0.015906883246008148,0.011297519991668512,0.0,50.4
ARIMA,TLT,0.010268164692443965,0.008057933025817598,0.0,50.6
ARIMA,GLD,0.01140674353967372,0.00809157164969184,0.0,54.8
ARIMA,SPY,0.011204806823319998,0.007921808967989212,0.0,50.5
RandomWalk,IBM,0.01616546149630936,0.01082064162577455,0.0,0.1
RandomWalk,AAPL,0.01782583693603581,0.01255701946513773,0.0,0.3
RandomWalk,JPM,0.015759982450130595,0.011181219487792193,0.0,0.1
RandomWalk,TLT,0.010275478852043931,0.008078798718456234,0.0,0.3
RandomWalk,GLD,0.011430518665560026,0.008120852906363475,0.0,0.1
RandomWalk,SPY,0.01117438770187328,0.007854568977399968,0.0,0.2
RandomForest,SPY,0.011164672700319674,0.007930702246632627,0.0,52.9
XGBoost,SPY,0.011255986910896357,0.00803332955863332,0.0,49.7
RandomForest,IBM,0.016217774304305307,0.010875697305935187,0.0,53.1
XGBoost,IBM,0.016399026035229865,0.010996453504349865,0.0,49.3
