Regime,Tree,Edge,Family,Lambda_L,Lambda_U
calm,1,1,student,0.014813159201288801,0.014813159201288801
calm,1,2,student,0.006780732742119388,0.006780732742119388
calm,1,3,student,0.3435758958208329,0.3435758958208329
calm,1,4,student,0.2693691289384869,0.2693691289384869
calm,1,5,student,0.3650593318784192,0.3650593318784192
crisis,1,1,student,0.08710170408380644,0.08710170408380644
crisis,1,2,student,0.49441433305678,0.49441433305678
crisis,1,3,student,0.5157602637721912,0.5157602637721912
crisis,1,4,student,0.4163590013408326,0.4163590013408326
crisis,1,5,student,0.008695525887567983,0.008695525887567983
