Date,Return (%),# Sigma,Normal Probability,Event
2020-03-16,-11.59,-9.9,0.00e+00,COVID circuit breaker
2008-10-15,-10.36,-8.9,0.00e+00,GFC sell-off
2020-03-12,-10.06,-8.6,0.00e+00,COVID pandemic decl.
2008-12-01,-9.27,-7.9,2.00e-15,Recession declared
2008-09-29,-8.16,-7.0,2.66e-12,TARP vote fails
2020-03-09,-8.13,-7.0,3.17e-12,COVID oil crash
2008-11-20,-7.71,-6.6,3.75e-11,
1997-10-27,-7.52,-6.5,1.11e-10,Asian Crisis
1998-08-31,-7.4,-6.3,2.19e-10,LTCM / Russia
2008-10-09,-7.24,-6.2,5.31e-10,
2011-08-08,-6.73,-5.8,7.55e-09,US downgrade
2008-11-19,-6.62,-5.7,1.32e-08,
2020-04-06,6.5,5.5,3.56e-08,
2008-11-24,6.7,5.7,1.34e-08,
2009-03-23,6.94,5.9,4.03e-09,TALF / QE rally
2020-03-13,8.2,7.0,3.33e-12,COVID relief rally
2020-03-24,8.67,7.4,1.78e-13,COVID stimulus rally
2025-04-09,9.99,8.5,0.00e+00,
2008-10-28,11.05,9.4,0.00e+00,GFC rally
2008-10-13,13.56,11.5,0.00e+00,Global bailout rally
