Tree,Edge,Var1,Var2,Family,Parameters,Rotation,Lambda_L,Lambda_U
1,1,TLT,JPM,Student-t,"0.1842, 5.8884",0,0.06641012923955143,0.06641012923955143
1,2,JPM,SPY,Student-t,"-0.3264, 3.7798",0,0.02953884192394991,0.02953884192394991
1,3,SPY,JPM,Student-t,"0.6567, 3.1159",0,0.40666006262632765,0.40666006262632765
1,4,SPY,JPM,Student-t,"0.6236, 3.4915",0,0.3593135059188868,0.3593135059188868
1,5,SPY,JPM,Student-t,"0.7211, 3.1558",0,0.45634114749571664,0.45634114749571664
2,1,JPM,SPY,Student-t,"0.0157, 5.0900",0,0.05060370752076608,0.05060370752076608
2,2,SPY,IBM,Student-t,"-0.0551, 5.8238",0,0.0288027209510413,0.0288027209510413
2,3,JPM,AAPL,Student-t,"0.0549, 10.0522",0,0.009243630729924346,0.009243630729924346
2,4,JPM,AAPL,Student-t,"-0.1479, 13.0159",0,0.0006706589809510489,0.0006706589809510489
3,1,SPY,IBM,Student-t,"0.1332, 15.2944",0,0.002714166573113284,0.002714166573113284
3,2,IBM,AAPL,Frank,-0.2942,0,0.0,0.0
3,3,AAPL,IBM,Student-t,"0.0175, 23.8463",0,4.929292899507373e-05,4.929292899507373e-05
4,1,IBM,AAPL,Clayton,0.0301,90,0.0,0.0
4,2,AAPL,TLT,Frank,0.0507,0,0.0,0.0
5,1,AAPL,GLD,Student-t,"-0.0329, 13.4387",0,0.00143788264469576,0.00143788264469576
